Symptoms,Frequency
hive-like rash itch,1
detectable visual issues,1
crvo,1
majority vision,1
hypersensitive clothing,1
"back , arm , chest head dull",1
achy pain,1
swollen painful lymph node left armpit,1
adverse reactions acute distress,1
pleurisy,1
pain breathing,1
significant bodily fatigue,1
fatigue soreness injection site,1
running nose cough,1
severe fever,1
horrible chills,1
restless leg syndrome,1
throat ache,1
ear ache,1
freezing cold,1
generalised weakness,1
tia stroke,1
tingling pain breasts,1
"massive itching legs , ankle , back , upper arms central chest",1
immediate discomfort,1
weak tingles,1
visible signs arthiritis,1
overwhelming fatigue,1
severe anxiety depression,1
drop testosterone,1
sinus bradycardia,1
left atrial enlargement,1
syncope seizure,1
bit tongue seizure,1
pt rash buttocks,1
vomited diarrhea,1
eyes burning,1
worse sinus attack headache,1
mild loss memory,1
presenting exertional dyspnea,1
covid-19 multi-focal pneumonia,1
swelling right hand foot,1
failure,1
systemic lupus erythematosus,1
significant cad,1
complete heart block,1
type 2 diabetes mellitus,1
chf ef,1
shortness breath cough,1
slightly elevated troponins,1
acs,1
patient adverse effects,1
coughing sneezing,1
constant nonradiating chest pain,1
bilateral opacities,1
very fatigued,1
bad injection site pain,1
right hand numbness,1
across chest numbness,1
vision changes right eye,1
neck red,1
"skin chin , throat area",1
red irritated,1
slight raise skin,1
linear rashes,1
dashes neck,1
hot arm injection site,1
left arm tingling shoulder left thumb,1
weakness aches,1
small replay many symptoms,1
cardiac arrest,1
trouble breathing short breath,1
bad back pains,1
chest pains shortness breath,1
cough sickness,1
indigestion,1
young heart attack,1
costochondritis,1
cartilage irritated inflamed ribs,1
painful breathing pressure,1
cholecystitis,1
small gallstones,1
severe rash/hives,1
"secretions hair matte hair , neck , upper thighs back lower hips , arm , groins , genital area",1
left arm hurt throat,1
swollen lymph node- right armpit,1
treatment cold/flu like symptoms,1
menstrual change,1
increased appetite,1
increased thirst urination,1
hive face,1
itching face body itchy throat,1
rash behind ears,1
abdominal weak next weeks,1
pain lower right side,1
gi cramping,1
allergic skin reaction,1
cold induced urticaria,1
underlying copd,1
abdominal bloating severe diarrhea,1
persistent symptoms,1
associated nausea vomiting,1
hypoxic pulse ox,1
cough still bothersome,1
"naseau , body pain",1
worsened severe pain,1
elevated blood troponin,1
extreme fatigue cold intolerance,1
one previous pregnancy ( unremarkable complications,1
fetal abnormalities,1
chest pain left side,1
upper chest pain,1
nauseous shaking,1
tongue numb,1
dizzy spells,1
body tingling,1
convulsions,1
freezing cold sweating,1
types symptoms,1
neuropathy issues legs arms,1
lot anxiety,1
bit paranoid delusional,1
constant nausea,1
allergic event,1
dysautonomia pots,1
adrenaline insomnia numbness issues,1
laid pain,1
let pain,1
tired fatigued shortness breath,1
debilitating feeling,1
coughing sinus congestion,1
ams,1
altered loc,1
episodes tachycardia,1
atrial fibrillation rhythm,1
mild symptoms congestion fatigue,1
nis appendcitis,1
axillary swelling,1
painless,1
lips tingled,1
sore mouth,1
tingling lips,1
rash right breast,1
rash left-side back shoulder area,1
second rash right-side breast,1
rash right-side hip,1
rashes constantly itch,1
constantly itching,1
numbness hands feet bruising,1
suffering skin condition,1
itchiness,1
tingly/prickly,1
"acute onset rash bilateral arms , biceps/forearms left rib cage",1
warmth chest,1
neck & face hives,1
several days tingling,1
prickling feeling hands & face,1
minor swelling,1
itching hands,1
coughing throat,1
patient breakthrough covid-19 infection,1
scratchy throat,1
hoarness,1
crying,1
reduced fever/ improved symptoms meds,1
occas coughing,1
congestion/,1
increased heart palpitations-,1
hard beats,1
weak rapid heart beat,1
achy chilly,1
red face nauseous,1
constantly hot sweaty,1
arterial ischemic stroke,1
"multifocal , multiple vascular territories",1
acute ( hcc ),1
patient contusions left ribs,1
rib fractures,1
ongoing pain,1
patient continued lot discomfort along left chest,1
much lot discomfort,1
left anterior chest wall pain,1
agitated,1
significant dyspnea,1
pulmonary emboli,1
hypoventilating,1
pretty large hiatal hernia,1
slightly dilated gallbladder,1
bronchitis laryngitis,1
severe pain back knee swollen,1
severe pain left leg,1
localized pain knee area,1
similar pain bruising,1
entire right side body swelled,1
extreme body aches,1
hemorrhagic stroke ( hcc ),1
cva ( cerebral vascular accident,1
constant high-pitched ringing ears,1
paranoid,1
losing continence biting tongue,1
"altered , unstable gait",1
incontinent,1
metabolic encephalopathy,1
baseline cognitive dysfunction,1
drug induced tremor,1
left sided weakness stroke,1
mildly elevated level,1
middle ear infection,1
abdominal cramping,1
toes pain,1
really dizzy cramping,1
nausea flu symptoms,1
low iron count,1
post vaccination iron deficiency,1
odd vaccine,1
decrease red blood cells,1
red splotches legs,1
spots cough,1
coughing red splotches,1
swollen achy,1
kind bronchitis,1
c-reactive protein elevated liver enzymes,1
hepatitis,1
alt ast elevated,1
narrowed erythema nodosum,1
spots irritated,1
ankles swell,1
similar prior heart attack sep,1
minus left arm tingling finger tips,1
significant shortness breath,1
severe chest pain shortness breath,1
vaccine induced myocarditis,1
tia left frontal lobe secondary dvt left femoral vein,1
clotting abnormalities,1
arrhythmias,1
full body ct rule cancers,1
severe sepsis septic shock,1
"groin , chest , neck",1
phn,1
parents allergic reaction,1
warning signs,1
excessive menstrual pelvic pain,1
major changes length,1
duration frequency menses,1
excessively weak,1
excessive urination,1
continuing weakness,1
small amount hives left arm r arm,1
history lung cancer,1
diarrhea low oxygen,1
diffuse body aches pain,1
`` flu-like symptoms,1
aaa,1
rupture,1
debilitating reaction,1
sever fatigue,1
elevated heart rate body temperature,1
spontaneous miscarriage,1
previous history infertility,1
still lethargic,1
improving lethargy,1
paroxysmal atrial fib flutter rvr,1
wide-complex tachycardia,1
supraventricular aberrancy,1
"itchy bumps arm , chest , back",1
patient difficulty breathing,1
itchy bumps,1
flare pediatric autoimmune neuropsychiatric disorders,1
streptococcal infections,1
tooth pain,1
adult tooth erosion cyst,1
adult tooth,1
eruption,1
biopsy part eruption,1
tooth eroded tooth,1
mild nausea,1
relief,1
swelling upper lip swelling,1
increased allergy symptoms,1
irritation previous injection sites,1
swelling soreness injection site,1
skin color change,1
pale diaphoretic,1
sharp pains left arm upper left neck,1
upper neck pain,1
chest pains,1
falls,1
ongoing dysuria,1
red pruritic blotches neck back,1
respiratory syncytial virus,1
substantial increase tinnitus left ear ( deaf left ear,1
ringing substantially louder,1
ringing level,1
major loss sensitivity,1
ringing fatiguing,1
abnormal labs,1
enlarged liver,1
right side face drooping,1
bells palsy symptoms,1
sensation,1
ringing ear,1
congestion pain ear,1
sharp ribbon pain,1
sharp pain l posterior calf,1
"pain calf , ankle",1
extremely sob,1
er sob,1
heparin induced thrombocytopenia,1
immune thrombocytopenia,1
brand new syndrome vaccine related syndrome,1
hands cold,1
urinary incontinence,1
bit confused,1
anxiety-based reaction post-vaccine,1
sore sore wept fluid,1
shot site,1
sore scab healing,1
healing sore,1
ringing head october,1
irritating,1
vertigo ears,1
ringing head,1
ringing head tinnitus,1
tumors,1
little dizziness,1
leg pain,1
tingling hands,1
weird sensations,1
chest pain left side left sternum,1
burning pain,1
trace pericardial effusion,1
filling dizzy weak,1
loss taste,1
instance breakthrough covid-19 disease death,1
hospitalized death,1
internal bleeding,1
allergic reaction legs,1
hsp,1
joints swell,1
slight aches,1
shooting pains,1
left shoulder blades,1
tingling legs/ feet,1
constant tingling lips,1
increased bpm,1
wild fluctuations blood pressure times,1
previous manifestations atrial fibrillation,1
lightheaded pain chest heart located,1
pain heart area,1
stress anxiety continued complications,1
challenging heart feel unconfutable,1
immense pain arm back,1
painful reactions,1
lymph nodes right armpit,1
right side neck swollen,1
tightness lungs,1
difficulty taking deep breath,1
new symptoms lungs,1
coughed blood phlegm,1
potential blood clot lungs,1
elevated troponin levels,1
vaccine affected heart,1
sick pneumonia,1
body itching,1
swelling eyes mouth,1
nasal drainage,1
winded,1
scared anxious,1
problems,1
stiff neck vaccination,1
sensation outer two fingers left hand heart palpitations,1
redness injection,1
atypical pneumonia costochondritis,1
tachypnea,1
recurrent syncopal events,1
lymphocytic myocarditis,1
viral etiologies myocarditis,1
numbness left thigh,1
similar episode,1
bells palsy,1
tired little bit headache,1
little nt headache,1
pulse ears,1
ear infection dizziness,1
minor headache,1
3 miscarriages,1
"little weak , nose",1
little headache entire time nausea,1
mild severe,1
major sinus drainage cough,1
slight upper chest burning,1
terrible coughing,1
meds cough,1
weak coughing chest burning,1
upset stomach,1
significant adverse events reactions,1
crushing substernal nonexertional chest pain,1
acute myocardial injury,1
improved pain,1
ischemic changes,1
rising troponin,1
obstructive cad thrombus,1
differential acute myocardial injury myocarditis,1
potential ischemic event,1
fatigue back pain,1
impaired speech,1
lack balance,1
shallow breathing,1
myasthenia gravis,1
mestinon symptoms,1
upper shoulder,1
"back , arm soreness",1
along c7 dermatones,1
complete exhaustion,1
massive headaches,1
stabbing pains head,1
numbness right side body,1
vision floaters,1
massive brain fog,1
squishy,1
pain neck glands,1
random shaking left arm vaccination side,1
close fainting episodes,1
vaccine nausea vomiting migraines,1
numbness tingling sensation,1
much pain leg ca nt sleep,1
neck feet numb,1
faint alert,1
lymph nodes upper chest neck area,1
severe neck pain,1
extremely difficult anything,1
full body rashes hives,1
pale white,1
dizzy sat,1
light headed dizziness,1
chest tightness sort intermittent,1
usual fatigue,1
typical side effects,1
chest tightness normal symptoms,1
joint aches,1
loss taste/smell,1
marked swelling/hives palm,1
gi distress,1
generalized hives,1
"intermittent waves generalized hives abdomen , neck , thighs",1
body high temperature,1
myocarditis chest pain,1
breathing difficulties,1
feelings fast beating,1
shaking body pounding heart,1
lung discomfort,1
bounding heartbeat,1
hypertensive crisis,1
pounding heart beat ear,1
rapid heart rates,1
symptoms stress anxiety,1
multiple seizures,1
debilitating joint paint,1
"fist , affected ankles , knees , wrists shoulders",1
adverse affects,1
new onset heart arrhythmias,1
increased anxiety stress levels,1
feeling nauseous,1
weird pains legs arms exhaustion,1
cold toes sitting,1
headache pain,1
cold toes,1
exhausted time brain fog pain legs,1
overall body aches,1
informed symptoms,1
many varied side effects vaccine symptoms,1
feet ankles swollen,1
symptoms swollen feet ankles,1
swelling feet ankles,1
severe hair loss,1
slight fever chills,1
tylenol combat symptoms,1
painful lump right supraclavicular notch,1
head back bilat upper extremities elevated shaking,1
large emesis,1
distress,1
joint soreness,1
automimmune disorder,1
autoimmune disorder,1
"joint pain ( wrist , hips , shoulders )",1
diaphoretic,1
sore arm night,1
eyes tired,1
constant tinnitus ears,1
fetal demise,1
symmetrical urticaria pruritic,1
adr,1
body aches fever,1
increasingly lethargic,1
inflammation thyroid,1
heart beat whole body racing,1
tingly,1
involuntary movement head,1
paralysis,1
trouble opening eye lids,1
muscle spasms throat,1
acute chronic respiratory failure hypoxia hypercapnia,1
sharp chest pains center chest,1
spells,1
fast-beating,1
symptoms myocarditis,1
viral sepsis acute metabolic encephalopathy,1
itching swelling lips itchy throat,1
urgency,1
continuous nausea,1
several days vomiting,1
continuous brain fog,1
continuous extreme fatiguel,1
dull achy pain upper left arm,1
3 months pain,1
2-12 headache,1
2-16 fatigue,1
100 degree fever,1
2-24 continued symptoms,1
abnormal lab work,1
complications,1
acute hypoxic respiratory failure viral sepsis,1
headache diarrhea,1
first-degree av block,1
left anterior fascicular block anteroseptal infarct,1
asystole,1
stemi,1
severe pitting edema ankles,1
muscle weakness legs,1
mental confusion,1
difficult communication comprehension,1
short term memory problems,1
chronic hives,1
breathless,1
saddle pulmonary embolism,1
sack liquid left arm armpit area,1
noticeable swelling,1
sore left arm headache,1
painful large swollen area armpit side chest area,1
headache discomfort,1
fingers swelling,1
eyes hives,1
many side effects,1
left side body beaten ( pain,1
finally lumps size grapes left arm pit,1
scary,1
pain swelling lymph nodes,1
observed pain,1
redness tenderness injection site,1
severe flu,1
aside tired soreness injection site,1
severe burning lungs,1
vaccine severe illness,1
serious neurological issues,1
jerky movements leg muscles,1
impossible sleep,1
nausea tiredness,1
severe leg pain,1
sob tachycardica,1
fatige,1
5/10 pain armpit,1
lymph node area tenderness,1
noticeable heart gymnastics,1
fluttering chest,1
thumping bumping,1
exercise induced elevated troponin,1
"urticaria hands , feet , back",1
covid pneumonia respiratory failure,1
severe rigors/chills,1
extremely light vaginal bleeding,1
continued intermittent rigors etc,1
sudden pain,1
pelvis rigor,1
heavier bleeding,1
history prior miscarriages,1
hemiplegic migraine,1
severe left hemicranium left facial droop,1
odd sized pupil,1
"severe burning pain left arm , left shoulder , neck head",1
rash legs voice,1
scratchy,1
little numb,1
cold fever,1
numb feet ankles,1
rash legs swollen lymph nodes,1
still swollen lymph nodes feet,1
red flags,1
many people serious heatlh problems,1
acute ischemic stroke,1
negatively affected adrenal gland,1
adrenal insufficiency,1
adrenal crisis,1
chronic condition prognosis,1
one worst symptoms adrenaline sufficiency impaired immune system,1
mild twitching ongoing,1
volume overloaded,1
continued respiratory distress,1
impending respiratory arrest,1
stress-induced ( takotsubo ) cardiomyopathy,1
bacteremia,1
pneumonia renal failure,1
swelling lymph nodes right arm,1
arm swelling pain,1
huge cramp going arm hands,1
sleep pain,1
hurts breathe pain,1
less swollen,1
typical arm tenderness,1
clogging,1
fluttering sounds popping,1
chest/heart pain,1
stabbing,1
patient lifetime low blood pressure,1
acute encephalopathy,1
covid-19 virus infection,1
swelling arm,1
swollen axilla nodes,1
swelling onto right chest mid ribs associated pain,1
hsv2,1
lesions,1
ckd stage iv,1
progressed dry cough,1
patient stroke,1
hardness sleeping side,1
popping noise shoulder area,1
joint achneness,1
mono elevated blood,1
staph,1
lupus,1
warm touch,1
2-3 inch diameter red,1
decreased swelling,1
mild bruise,1
heavy sense burning,1
still wifty feeling head,1
rash spread thighs,1
cough sinus congestion,1
swollen armpit lymph node,1
severe headaches,1
lot sinus congestion,1
severe dry mouth,1
rash forehead chin,1
red sores whitish flaky skin,1
calmed symptoms,1
clearing throat,1
er rash,1
multiple allergies,1
severe chills/teeth chattering,1
restlessness,1
prolonged dizziness,1
numbness right side face,1
debilitating chest pain,1
aspirin pain,1
myocarditis diagnosis,1
similar leg pain,1
lower back butt,1
treated pain,1
still treated day pain,1
extreme arm pain,1
swelling left arm,1
aching pain,1
"mild moderate , worsening pressure",1
partial loss sight,1
stiffness arms hands,1
second day aches body,1
whole body sensitive headache,1
constant sneezing,1
itchy watery eyes,1
hives broke scalp body,1
scratchy/dry throat,1
"lower back , knee jaw sporadic wrist pains",1
significantly fever migraine,1
reduced pain,1
reduced nausea,1
painful tear,1
mild burning peri area,1
lower abdominal cramps,1
tightness pressure,1
difference pain discomfort,1
faint nauseous,1
increase work breathing purse lips,1
patient moderate chest pain,1
mildly improved respiratory distress,1
postural dyspnea,1
left sternal border pain,1
menstrual cramps heavy bleeding,1
left sided face swelling,1
left side lower lip swelling,1
foot numbness feet,1
significant cva,1
dyslipidemia depression,1
progressive worsening,1
associated symptoms,1
fever fatigue,1
loc,1
sputum production,1
normotensive tachycardic tachypnea,1
multifocal consolidative opacities along periphery lungs,1
large effusion,1
subsegmental pulmonary embolus,1
heart strain,1
peripheral groundglass consolidative changes,1
atypical/viral pneumonia,1
prominent mediastinal hilar lymph nodes,1
trace right pleural effusion,1
moderate hiatal hernia,1
acute intracranial process,1
paranasal sinus disease,1
nonspecific white matter changes,1
secondary chronic small vessel ischemic disease,1
prostate infection,1
general practitioner testicular swelling,1
swelling tenderness,1
prostate examine prostate infection,1
burning irritation,1
urinating ejaculation,1
early june sob,1
breathing wheezing,1
cold type symptoms,1
mild left-sided chest pain,1
cramping left calf,1
atypical,1
pain swelling leg,1
difficultly walking,1
sore ankle,1
deep vein thrombosis,1
chf,1
le edema,1
sinus tachycardia nonspecific st changes,1
bilateral scattered opacities,1
cirrhotic appearing liver,1
diffuse hepatic steatosis,1
extremely severe joint inflammation pain elbow arm,1
tenosynovitis,1
arm muscle pain,1
dyspnea wheezing,1
lot yellow/greenish mucus mornings,1
blah feeling,1
extreme pain thoracic area,1
chronic pancreatitis,1
loss taste smell,1
typical covid symptoms,1
increased pain hands,1
leg pain weakness thighs,1
wrist weakness hands point,1
increasing blood sugar,1
heart beat fast,1
ringing ears left right,1
extreme hand pain,1
unknown skin conditions,1
barre syndrome,1
small fiber variant,1
hitting head back ribs incident,1
focal weakness dizziness,1
fractures involving left transverse process l1 l2,1
minimally displaced fracture left posterolateral 11th questionable fracture posterior lateral 10th ribs,1
aching nov,1
pink eye infection dec,1
wet cough,1
throat sore,1
wet coughing,1
sinus draining,1
chronic persistent headache,1
hives nausea,1
bone left foot,1
loss bone,1
severe osteoporosis,1
severe bone loss,1
bone risk losing teeth,1
odd sudden bone loss,1
sudden bone loss,1
sudden bone loss osteoporosis,1
cought,1
november bowel obstruction,1
significant increase output ostomy,1
intermittent tightness,1
mild shortness breath,1
black bloody stools,1
cough cold covid symptoms,1
aggravating alleviating factors,1
7/10 pain scale,1
pms,1
onset essential tremor,1
pronounced left hand,1
severe uterine pain,1
type pain,1
flu symptoms,1
lethergic,1
bilateral infiltrates effusions,1
normal pain injection site,1
week pain,1
left bend arm,1
appetite changes,1
patient sob,1
seizures dts,1
nausea vomiting,1
brain fog memory issues,1
chronic headaches diffuse unremitting nature,1
aggravated physical activity,1
minimum symptoms,1
cough nasal congestion sore throat,1
patient seizure episode,1
severe respiratory failure,1
metallic taste,1
high anxiety,1
vasovagal episode,1
flushing/sweating,1
hyperventilation,1
employee cold symptoms,1
profusely sweating dilated pupils,1
vaccine light headache,1
really cold hands,1
really cold,1
fever body aches,1
body shaking fever headaches,1
"flushing ears , neck , chest",1
/hypoxia,1
low oxygen saturation,1
uri symptoms,1
mucopurulent sputum,1
hypoxic time,1
improved dyspnea,1
significant hypoxia,1
mild hyperglycemia,1
isolated elevation ast,1
bnp elevated,1
pct mildly elevated,1
v-tach,1
agonal breathing,1
bursitis  pain shoulder/neck area,1
cold symptom,1
kinds symptoms,1
ocular migraines,1
raised veins temples,1
chronic urticaria,1
hyper immune response,1
permanent damage,1
right flank pain,1
covid-19 positive,1
treatment symptoms,1
decreased activity,1
3 bloody stools,1
reduction lower extremity movement,1
hemorrhagic shock gi bleed,1
coagulopathy,1
spinal cord infarct,1
gi bleed spinal cord findings,1
similar large spot side body lower neck red slightly painful touch,1
full body hives,1
reduced itchiness redness,1
slight shortness breath,1
cough white sputum production,1
dysuria frequency,1
patient febrile,1
tachycardic hypotension,1
hypoxic fever,1
low back pain,1
b/l jaw muscle pain,1
right wrist/hand pain,1
left foot/ankle/heel pain,1
pain b/l hips,1
upper back/neck,1
left hand,1
well subjective fevers,1
pt vague syndrome,1
nonspecific unilateral joint pain,1
l great toe pain,1
well low back neck pain,1
roving pains symptoms,1
o2 shortness breath chest pain,1
consolidations,1
rash entire body,1
persistent l shoulder pain,1
shoulder hurts,1
self-inspection lumps,1
discoloration,1
changes temperature skin texture,1
little bit sob,1
ear infection,1
menstrual bleeding,1
premenstrual symptoms,1
uterine lining shed,1
mild transient edema left wrist,1
mild edema left ankle,1
slight swelling left knee lips,1
"erythema multiforme rash abdomen , arms , legs , buttocks",1
slight swelling left knee,1
exacerbating lupus symptoms,1
dry eye,1
worsened joint pain,1
kidney pain,1
mental fatigue,1
persistent productive cough,1
improving symptoms,1
occasional cough,1
"small bumps torso , back neck",1
small spread body,1
red inflamed,1
bumpy rash,1
brown spots,1
1- entire body marked brown spots small bumps,1
bumps mixed brown spots,1
dry scaly,1
brown spots rash,1
symptoms stiffness left thumb swelling,1
hypertension obesity,1
low -grade temp,1
severely burns tongue,1
cracked rib,1
low level,1
consistent troponin elevation,1
significant change chronic troponin elevation,1
positive pulmonary emboli,1
segmental subsegmental branches right upper lung arterial vasculature,1
subtle peripheral groundglass opacities,1
epigastric/upper abdominal pain,1
significant circumferential bladder wall thickening,1
underdistention,1
infectious process,1
ringing ears metallic taste symptoms,1
time dizziness nausea,1
sign infection,1
signs infection,1
pain right rib cage,1
emesis,1
tachycardia diaphoresis,1
nausea emesis,1
abdominal fullness,1
mental status change,1
patient confused agita,1
chill,1
serve headache,1
congestive unable sleep,1
patient chest heaviness,1
weakness fatigue,1
lower extremity edema,1
diabetes mellitus type 1,1
pressure left side chest,1
troponin level elevated,1
mild patchy round glass multifocal areas airspace disease lungs,1
right basilar atelectasis infiltrative changes right perihilar region,1
patient hypotensive,1
hypotension lewy body disorder,1
new hypertensive crisis disorder,1
new onset atrial fibrillation congestive heart failure,1
coughing yellow sputum,1
chronic renal failure,1
worsening respiratory status,1
multiorgan failure,1
rash ankles shins,1
painful warm touch,1
ringed slightly redder color,1
largest larger quarter ; rest size nickle,1
less itchy painful,1
small erosion blister center,1
new welts,1
conclusion erythema multiforme erythema nodosum,1
chronic conditions,1
mild redness chest,1
rash chest arms,1
itchiness arms,1
mild itchiness back,1
redness rash,1
itchiness arms upper back,1
"swelling face , neck , throat",1
erythema chest upper back,1
covid positive symptoms,1
symptoms shortness breath,1
crackles bases,1
left arm left armpit sore,1
swollen tender,1
increased stress levels,1
increased heart rate,1
worsening eye sight,1
severe cramping,1
lymph node swelling left armpit,1
peeling lips gums,1
vertigo pressure ears,1
nonproductive generalized body aches,1
mildly sore,1
moderately sore,1
diffuse moderate puffiness/edema anterior axilla,1
pain arm chills,1
ifg,1
ckd,1
mild cognitive impairment baseline,1
progressive point,1
mild nonproductive cough,1
localizing symptoms infection,1
bacteriuria,1
elevated pt s feet,1
dizzyness exercising,1
acute lesion,1
lesion lad coronary artery,1
mid lad,1
vomiting lot,1
ongoing cough,1
positive blood culture,1
shortness breath symptoms,1
fever body pain,1
anything symptoms,1
pain palm hand ( inflamed vessel ),1
bruising right middle finger,1
slight bruising pain,1
severe joint pain,1
non-productive cough,1
intermittent rapid rate,1
right vaccination sharp chest pain,1
left arm,1
severe fatigue brain fog,1
difficulty standing walking,1
dyscognition,1
facial swelling especially cheeks lips,1
delayed reactions fillers,1
swelling lips,1
palpable reduced size,1
visible lump,1
large bruise hard lump surface,1
drenching night sweats,1
irregular heart rhythm aflutter,1
large left pleural effusion,1
1.8 liters fluid,1
aflutter,1
chronic pleuritis,1
signs infection malignancy,1
comorbidities,1
typical atrial flutter covid-19 virus infection pneumonia,1
worsening symptoms fever,1
elevated bnp,1
indeterminate trending troponin,1
left perihilar infiltrate streaky atelectasis infiltrate right lung base,1
significant symptoms,1
reduced ejection fraction,1
acute illness,1
rapid rates flutter,1
elevated heart rates,1
patient s elevated dimer,1
bilateral aneurysmal dilation distal femoral popliteal arteries significant atherosclerotic disease,1
patient oxygen demands,1
hazy opacifications right hemithorax,1
accommodation airspace disease,1
small pleural effusion,1
pain stomach vomiting,1
large lymph node ear,1
severe sore throat,1
patient immediate dizziness,1
left hand right ankle swelling,1
right shoulder discomfort,1
primarily swelling 2nd finger left hand,1
overall discomfort swelling,1
increased joint pain,1
chronic back discomfort,1
patient inflammatory arthritis,1
nephrotic syndrome,1
membranous glomerular nephritis,1
membranous glomerulonephritis,1
prednisone marked flare,1
increased joint pain swelling,1
persistent pain stiffness swelling,1
gelling phenomenon,1
erythema areas pain,1
distinct rashes,1
acute onset inflammatory arthritis,1
membranous nephropathy,1
positive ana scleroderma antibody recent respiratory symptoms,1
early interstitial lung disease,1
pupil dilation constriction,1
generalized weakness upper lower extremities,1
soreness around injection site,1
anxiety cp,1
co cp,1
mid upper cp,1
cyanosis fever,1
visual changes discharge,1
ear nasal discharge,1
neck pain stiffness,1
diarrhea abdominal pain,1
frequency burning,1
edema pain,1
blurriness left eye,1
dry eye syndrome,1
central retinal vein occlusion,1
central vision,1
left eye,1
blurriness,1
bells palsy left face,1
right knee effusion,1
joint arthralgias,1
increased shortness breath,1
productive cough fever chills myalgia loss taste smell,1
covid-19 infection hypoxia,1
symptomatic anemia,1
weakness pain neck,1
overbody pain,1
mild nausea/vomiting,1
neutropenic fever,1
recent administration r-chop diffuse large b-cell lymphoma,1
bacterial pneumonia setting neutropenia,1
avm,1
caridomyopathy,1
chfref,1
carotid artery disease,1
chronic a-fib,1
glaucoma,1
hypothyrodism,1
hiatal hernia,1
mitral valve regurgitation,1
hypoxia respiratory distress,1
advanced age degenerative brain syndrome,1
acute otitis media,1
nonsuppurative,1
7 days symptoms,1
severe symptoms,1
continuously frequent ha,1
vasal vagal episode,1
elevated pt s legs,1
muscle sores,1
whole body ached,1
feeling sick,1
arm syndrome,1
another illness,1
"left shoulder , left side neck",1
left arm hand pain,1
hear heartbeat ears,1
metoprolol symptoms,1
chest congestion throat congestion ( phlegm ),1
st,1
near fainting,1
heartbeat irregular,1
another fainting episode,1
hashimotos thyroid control,1
cough runny nose,1
significantly sore,1
ringing pulsing ear,1
patient respiratory arrest,1
severe hypoxia,1
chronic diastolic heart failure demand ischemia,1
patient elevated feet,1
granulamatosis polyangitis,1
ent ringing ( tinnitus ) ears,1
sensorineural hearing loss ears,1
hearing aids,1
stomach ache cramps,1
balloon animals intestines,1
nc,1
recall chest pain,1
coughed,1
strep throat,1
feeling weak,1
warm nauseated,1
dry scaly patch upper cheek,1
folds cheeks peeling fold,1
pa diagnosed atopic dermatitis,1
work rash forearms,1
hands worst raised bumps,1
burns,1
liver damage,1
heartburn nausea,1
weight rapidly pain,1
little relief,1
tinnitus dropped intensity,1
chronic issues,1
apnea,1
arm lymph node pain,1
booster lymph node pain,1
breakthrough/reinfection,1
high flow oxygen acute encephalopathy,1
toxic metabolic/ delirium,1
hot painful,1
inflammation reaction,1
irregular heavy,1
myalgia joint pain,1
unexplained dizzy spells weakness,1
premenopausal,1
diseases abnormalities,1
hormonal system lead undesirable consequences,1
tickling sensation throat,1
soa fever,1
bradey cardia,1
tachey cardia,1
myalgia residual osteitis lateral humerus,1
deltoid left shoulder pop,1
osteitis,1
minor tingling,1
coughing wheezing,1
trouble breathing day,1
oral thrush,1
hot flash,1
flare rheumatoid arthritis,1
severe low back pain pain feet,1
rheumatoid arthritis spine feet,1
several days pain feet,1
flare ra,1
significant ra flare,1
sudden vomit diarrhea,1
hands started tingling,1
white red patches,1
moderate-severe left shoulder pain,1
pcp symptoms,1
heart rate increase,1
chest pains fatigue,1
hands feet tingling,1
sensation pins needles,1
"numb , arm leg falls asleep limp",1
twitching eye vision,1
racing chest,1
extremely fatigued joints painful,1
parasthesia hands feet,1
intermitent episodes chest pains joint,1
heavy fatigue,1
head injury,1
severe hip leg pain,1
feet numb,1
still numbness feet day,1
"pain doctor pain hips , feet , legs",1
doe,1
airway congestion,1
dry barking cough,1
irregular heartbeat pulse,1
tacheycardia,1
diarrhea sleep,1
short breath + covid test,1
thing sore throat,1
hives entire body,1
serious allergic reaction,1
medication reaction,1
acute respiratory failure pneumonia,1
evening fevers,1
red dots ( blood ),1
side effects cramps calves,1
severely reduced systolic function,1
mild unspecified cardiomyopathy,1
elevated bp,1
numbness tingling hand arm everyday,1
congestion headache,1
abd pain,1
complications reactions,1
leg cramping pain,1
great pain eyes,1
covid 19 pneumonia part ii significant conditions,1
hypogammaglobulinemia,1
herpes zoster virus reaction left foot,1
throbbing pain injection site,1
rash redness,1
flash pain,1
heart may flutter throbbing,1
minor throbs,1
dysarthria,1
non-enhancing lesions,1
demyelinating lesions,1
oligoclonal bands elevated igg index,1
extremely cold clammy,1
mild fatigue,1
dull headache,1
light nausea onset headache,1
bleach cleaner headache,1
tonsillitis,1
change worsening condition,1
little sore injection site,1
medication swelling,1
severely painful bloody sores inside mouth,1
ear pain ears,1
pain arm injection site,1
severe hiccups,1
weird sensations paresthesia left cheek,1
second dose tinnitus,1
severe headache fever,1
sharp pain right side head,1
itching localized left arm,1
diffuse patches redness anterior lateral aspects arm,1
one patch redness,1
raised urticaria,1
pt signs allergic reaction,1
additional 15 min development symptoms,1
worsening reactions,1
redness urticaria,1
flu like feelings,1
positive sample haemophilus influenza b infection,1
adverse effect,1
er fever cough,1
dysuria flank pain,1
back pain arthralgias,1
sore upper arms,1
right upper arm aches,1
arms weaker painful,1
slight heart ache,1
