Symptom,Frequency
muscle joint cap pain,3
irrational heartbeat,3
excruciating left foot/ankle,3
shin electrical nerve shooting pain,3
left leg ankle joint weakness,3
myoclonic limb jerks,3
extremely erratic menstruation patterns,3
face swelling,3
little chills,3
sinus issues,3
menstrual cycle change,3
axillary lymph node,3
swelling mild pain,3
sars-cov-2 infection,3
heart inflamed,3
raised,3
mild cold- like symptoms,3
abdominal bloating,3
death myocardial infarction,3
sensation back throat,3
throat irritation,3
shoulder neck,3
heart problem,3
blisters right injection site,3
leukemia,3
deep pain sciatic nerve,3
pain worsens,3
migraine ( non-serious ),3
thyroid problems,3
right side neck lymph nodes knot,3
eating disorder,3
cloudiness,3
injection site sore,3
head problems,3
extreme vertigo,3
severe pleasant,3
severe hot/cold flashes,3
mild flu like symptoms,3
improved symptoms,3
ra,3
afib rvr,3
bruise injection site,3
positive test symptoms,3
blood,3
chronic respiratory failure hypoxia,3
increased oxygen requirement,3
elevated baseline,3
pe acute findings,3
bladder ca,3
patient headaches,3
dyspnea exertion,3
abdominal pains,3
tender touch,3
worsening dyspnea,3
exertional dyspnea,3
pleuritic chest pain,3
slight sore throat,3
death heart failure,3
injection site tenderness,3
asthmatic,3
rash clusters,3
streaks itch,3
streaks,3
still pain shoulders neck area,3
little discoloration,3
pain ( non-serious ) onset,3
underarm pain,3
"pain neck , back , knees",3
vaccination site induration,3
sore knees,3
eyelid pain,3
left arm pain wrists,3
dark spot size dime,3
body aches ( muscle joint ),3
extreme leg cramps,3
extreme stomach pain,3
testicals swollen sore,3
itching head toe,3
swollen sore,3
significant lymph node swelling,3
increase heart rate,3
irritating itchiness,3
kind arm swelling arm,3
swollen armpit mild pain,3
entire body numb tingling,3
acute abdominal pain,3
painful knuckles straightened,3
polycystic ovarian syndrome,3
extra strength headache,3
arm sore muscle,3
pain redness area,3
slight ache around injection site,3
jumbled speech crying,3
pain aches,3
sore uncomfortable,3
lot disorientation confusion,3
bump injection site,3
symptoms stomach,3
severe anterior neck pain,3
swelling lymph node armpit,3
light congestion,3
underlying injury,3
muscle joint aches,3
fever injection site,3
blurred vision headache,3
prolonged qtc,3
stage 3b chronic kidney disease,3
slightly dizzy,3
bad back pain,3
little fatigued,3
guttate psoriasis,3
swelling went collar bone,3
swelling face & throat,3
muscle spasm stomach,3
stomach discomfort,3
injury lower leg,3
irregular heart beat ( 4 beats,3
whole body joint pain,3
vtach,3
slight tightness throat,3
pain back head,3
arm complete sore puffy,3
little swollenness,3
extreme tremors,3
stiffness muscles,3
risk reaction,3
tingling nerves left side neck,3
big headache,3
feeling pain left side,3
low grade temps,3
mixed dyslipidemia,3
bilateral pneumonia,3
patient body aches,3
hard breath,3
numbness legs hurt,3
severe hives,3
depressing white needle sleeve thumb,3
bleeding thumb,3
typical virus like flu,3
wave vertigo,3
throbbing pain,3
pain left side neck,3
progressed sore throat,3
sever pain arm pit swollen lymph node,3
joint swelling hands knees,3
migraine attacks,3
pain back neck upper spine,3
pain left leg hip foot,3
red puffy hot sore eyelids,3
sick pain,3
really constant pain,3
stuffed pain feeling head,3
armpit swelling pain,3
swollen/painful lymph node,3
minor sore arm,3
circular rash,3
delayed type hypersensitivity reaction,3
rash sensitive touch,3
myasthenia gravis crisis,3
extreme pain right elbow,3
sharp shooting chest pains,3
chronic spontaneous urticaria ( hives,3
chronic spontaneous urticaria ( hives ),3
ankle legs swollen,3
little red spots,3
positive covid virus,3
heal toe infection,3
calf pain,3
pain extremity ( non-serious ) onset jul2021,3
terrible joint pain,3
face neck inner ear fullness l.,3
distal neck small painful papular rash posterior scalp,3
bulous lesion,3
rash papular,3
muscle spasticity,3
breakthrough covid illness,3
mild 'head cold ' symptoms,3
lot pain legs,3
heart damage,3
myocardial necrosis marker,3
head chest congestion,3
toxic megacolon entire colon,3
symptoms mild ( headache,3
little runny nose,3
tumor markers,3
sx covid st fever body aches,3
hands itchy,3
herpes simplex,3
minor injection site pain,3
positive covid ( confirmed symptoms,3
feverish symptoms,3
hospital pulmonary embolism,3
high grade fever,3
vision disturbances,3
odd pain shooting elbow,3
blue/blackish discoloration,3
basically fever,3
mi,3
pvd,3
little tearing pain,3
mucus nasal discharge,3
hand fingers severe,3
intolerable burning,3
his covid breakthrough infection,3
mild covid symptoms,3
congestion stuffy nose,3
horizontal double vision,3
area rash,3
pain stomach,3
birth defect ,3
head heaviness,3
dysmenorrhoea ( non-serious ) onset,2
diarrheal,2
mononucleosis,2
loss fluid,2
surprised reaction,2
nose running,2
jab soreness,2
thromboembolic events thrombocytopenia,2
entire body,2
lichenoid dermatitis,2
patient pyrexia,2
patient pain,2
frustrated,2
patient 's pain,2
hypertension ( non-serious ),2
babesiosis,2
swollen painful lymph node,2
pain radiates chest fingers/joints,2
really bad head ache body ache,2
noticeable change heart beat response excitement,2
pain shoulder blade neck little bit,2
loose bowel totally diarrhea,2
head exploding,2
rash developing cracks lips,2
anxiety/depression,2
erythema ( non-serious ) onset dec2021,2
new event,2
pain arm shot,2
similar flu even fibromyalgia,2
strong chills,2
feverish irritated,2
pain legs 's numb,2
spinal muscular dystrophy,2
muscular dystrophy,2
compound fracture,2
severe whole body pain,2
swelling arm pit,2
right arm pain vaccination site,2
addison 's disease,2
pcos,2
lymph nodes swelling,2
exposure pregnancy,2
tested asthma,2
slight asthmatic,2
tooth infection,2
swelling redness injection site,2
basal cell carcinoma lower calf,2
squamous cell carcinoma,2
squamous cell carcinoma upper calf,2
squamous cell carcinoma scalp,2
vaccination known allergies,2
psychosis,2
chronic lymphocytic leukemia,2
swollen lymph node left armpit,2
hot flashed,2
blood clot brain,2
cerebral thrombosis,2
bleeding menstrual cycle,2
headache fatigue,2
bad head cold,2
second dose swollen throat,2
continuous struggles abnormal break hives,2
lifted skin,2
abnormal break hives,2
pharyngeal oedema,2
urticaria pruritus,2
small hives eyes,2
iodine allergy,2
short breath difficulty,2
thyroid function,2
lymphadenopathy lymph node pain,2
peanut allergy,2
autoimmune disease,2
dark pink discoloration right elbow,2
hot flush ( non-serious ) onset,2
little warm,2
persisting flu like symptoms,2
congestion nose,2
pharyngeal disorder,2
feeling hot ( non-serious ),2
tooth disorder,2
nausea ( non-serious ) onset,2
"head feeling like vice , brain fog",2
body temperature increased ( non-serious ),2
generalized body aches/soreness,2
stomach heart burn,2
nail disorder,2
confusional state ( non-serious ),2
3 inch long red itchy area injection site,2
gland swelling,2
swelling lymph nodes armpits,2
mild headaches shots,2
infertility,2
sleeping,2
sciatica attack,2
infection toe nails,2
gums mouth swollen tender,2
still tender,2
baker 's cyst,2
rheumatoid arthritis lupus,2
increase pain,2
severe stomach pain,2
delirious,2
osteoarthritis ``,2
anastrozole bladder breast cancer,2
double pneumonia,2
hurting painful,2
sciatica painful,2
spasms throughout body painless,2
graves ' disease,2
restless leg type symptoms,2
worst muscle cramping,2
pins needles legs,2
confusion-medium,2
significant fatigue,2
light pain heart region,2
sharp pains heart,2
left ear,2
pain diminishing,2
low grade fevers,2
sharp chest pain right side,2
increasing generalized weakness,2
severe swelling,2
drug overdose,2
dark red,2
struggling breath,2
swelling armpit,2
retinal tears,2
autoimmune hemolytic anemia,2
seizing,2
persistent headache,2
heart skipping beat ``,2
intermittent shortness breath,2
hard swollen,2
clots pe,2
"right arm , pe , left arm",2
passing large clots,2
stone,2
rash skin,2
trauma injury,2
constant ringing ears,2
depression anxiety,2
fluttering heart,2
arm still swollen,2
lactic acidosis,2
constant worsening,2
productive cough yellow sputum,2
teeth chattering,2
rash areas,2
severe muscle aches,2
tinnitus left ear,2
nystagmus,2
significant findings,2
heart burn,2
pain site,2
area tender touch,2
severity pain,2
illnesses,2
muscle rigidity,2
unable focus,2
muscle problems,2
redness itching,2
high bp,2
sinuses,2
aura,2
dangerous disease,2
sign injury,2
cough nausea,2
severe abdominal cramping,2
menstruation,2
swollen sore lymph nodes,2
colon ca,2
worsening sob weakness,2
low o2 sat,2
covid19 infection,2
common cold,2
left breast pain,2
malignancy,2
steroid pain,2
ms,2
chronic urinary retention,2
erythema multiforme,2
kawasaki disease,2
significant htn,2
hlp,2
numbing,2
symptoms vaccine,2
heavy breathing,2
mild shortness breath mild chest pain,2
episodes racing heart,2
muscle cramps,2
fluid overload,2
post-vaccination breakthrough seizure,2
loud tinnitus,2
deconditioning,2
kind tired,2
gross hematuria,2
dead,2
sinus,2
fatigue dizziness symptoms,2
little dehydrated,2
coughed blood,2
subdural hematoma,2
paralysis left side,2
trouble talking,2
cough fatigue,2
heart racing headache,2
visual changes,2
teeth pain,2
patchy bilateral airspace disease,2
left chest pain,2
recurrence,2
severe muscle joint pain,2
muscle/joint pain,2
memory problems,2
intra oral swelling,2
chest pain/tightness,2
mucus throat,2
chest tightness pain,2
chronic opioids,2
generalized weakness fatigue,2
worsening cough shortness breath,2
significant chronic obstructive pulmonary disease,2
acute chronic hypoxic respiratory failure,2
giant cell arteritis,2
bilateral airspace disease,2
intracranial hemorrhage,2
wheezes rales,2
secondary covid-19 pneumonia,2
covid breakthrough,2
shot pain,2
ckd stage iii,2
occasional chest pain,2
mild sob,2
bladder infection,2
hit,2
superimposed pneumonia,2
related death,2
diverticulosis,2
ckd stage 3,2
paroxysmal a-fib,2
enlarged tonsils,2
chronic hypoxic respiratory failure,2
slight chills,2
sever cough,2
bradycardia arrested,2
resolution symptoms,2
unable urinate,2
epigastric pain,2
low grade temp,2
severe brain fog,2
clammy pale,2
chill headache,2
immediate adverse events,2
hit head,2
vasovagal episodes,2
puffy,2
patient sore arm,2
shingles outbreak,2
fast heart beat,2
bigeminy,2
ongoing symptoms,2
constant coughing,2
menstrual cycles,2
immobile,2
loss hearing,2
vasovagal reaction,2
left ear pain swelling,2
motor deficits left face,2
hot touch,2
itchy injection site,2
symptom onset,2
tingling numbness,2
headache body aches,2
profusely sweating,2
elevated d-dimers,2
medication symptoms,2
lesions tongue,2
hiv,2
subjective chills,2
"osteomyelitis vertebra , lumbar region",2
bunion right foot,2
lumbar spine pain,2
benign positional vertigo,2
osteopenia spine,2
aortic valve sclerosis,2
colonic polyps,2
cervical spine arthritis,2
colonic polyp,2
bilateral low back pain sciatica,2
sciatica laterality,2
lesion rash,2
abnormal muscle tone,2
new chest pain,2
recent covid infection,2
positive sore throat,2
positive shortness breath,2
extremely fatigue,2
known symptoms,2
recent illness,2
recent fevers,2
itchy eyes,2
another virus,2
second dose symptoms,2
pityriasis rosea,2
clinical condition,2
swollen painful lymphnodes,2
severe chills body aches,2
elevated blood sugar,2
systemic reaction,2
sore neck,2
pain left shoulder,2
hard breathe,2
b-cell lymphoma,2
immediate adverse reactions,2
dry nonproductive cough,2
pain weakness,2
upper abdominal pain,2
migraine headache,2
patient adverse events,2
blockage,2
acute metabolic encephalopathy,2
altered mental status changes,2
heart palpatations,2
slightly elevated temp,2
aspiration,2
small- moderate-sized right pleural effusion,2
small left pleural effusion,2
somewhat loculated,2
mildly enlarged pretracheal lymph node,2
mild degenerative changes spine,2
weakness body aches,2
achy joints,2
positional vertigo,2
chest pain pressure,2
"increasing size lymph nodes armpit , elbow , left breast",2
size pain lymph nodes left side,2
pain left breast,2
pain injection,2
painful lump,2
symptomatic covid-19 disease,2
cardiogenic shock,2
nose injury,2
crying pain,2
flashes,2
foggy vision,2
belly pain,2
difficulty breathing shortness breath,2
pain visual disturbance,2
chest pain leg swelling,2
numbness headaches,2
pain discomfort,2
throat pain,2
mild headache fatigue,2
anaphylactic symptoms,2
phobia,2
ran fever,2
along swelling,2
acute chronic congestive heart failure,2
chronic systolic heart failure,2
loss sense taste smell,2
interstitial edema,2
right lower quadrant pain,2
menstrual cramping,2
immunocompromised state,2
atopic dermatitis,2
bright red blood flow menstruating,2
tinnitus ringing ears,2
repeated vomiting,2
active hemorrhage,2
right ear ringing,2
red arm,2
brain fogginess,2
unresponsive-medium,2
prostate ca,2
supratherapeutic inr,2
muscle spasms arms legs,2
pulmonary vascular congestion,2
covid-19 virus active problems,2
chronic lymphocytic leukemia ( hcc ),2
major neurocognitive disorder ( hcc ),2
cxr bilateral patchy ill-defined airspace disease,2
significant anxiety,2
increasing lethargy,2
hyperkalemia,2
severe tremors,2
collapse,2
swelling numbness lips,2
massive heart attack,2
lightheadness-medium,2
tingling throat,2
continued pain,2
body aches fatigue,2
pain ankles,2
head hurt,2
lymph node left armpit,2
sense smell taste,2
violent,2
pleurisy,2
fatigue soreness injection site,2
ear ache,2
freezing cold,2
acs,2
right hand numbness,2
cholecystitis,2
allergic skin reaction,2
underlying copd,2
significant dyspnea,2
incontinent,2
metabolic encephalopathy,2
abdominal cramping,2
arrhythmias,2
sever fatigue,2
still lethargic,2
sensation,2
irritating,2
little dizziness,2
burning pain,2
hospitalized death,2
hsp,2
nasal drainage,2
minor headache,2
terrible coughing,2
improved pain,2
severe neck pain,2
full body rashes hives,2
adverse affects,2
eyes tired,2
spells,2
stemi,2
chronic hives,2
severe leg pain,2
rash legs voice,2
scratchy,2
little numb,2
cold fever,2
numb feet ankles,2
rash legs swollen lymph nodes,2
still swollen lymph nodes feet,2
red flags,2
bacteremia,2
acute encephalopathy,2
lesions,2
lupus,2
warm touch,2
severe dry mouth,2
multiple allergies,2
myocarditis diagnosis,2
sputum production,2
heart strain,2
throat sore,2
aggravating alleviating factors,2
normal pain injection site,2
vasovagal episode,2
coagulopathy,2
dysuria frequency,2
shoulder hurts,2
dry eye,2
kidney pain,2
mental fatigue,2
red inflamed,2
infectious process,2
lower extremity edema,2
pressure left side chest,2
troponin level elevated,2
fever body pain,2
anything symptoms,2
increased joint pain,2
left eye,2
blurriness,2
neutropenic fever,2
severe symptoms,2
feeling sick,2
recall chest pain,2
coughed,2
coughing wheezing,2
heart rate increase,2
heavy fatigue,2
doe,2
short breath + covid test,2
congestion headache,2
rash redness,2
pain arm injection site,2
face rash,2
mild tiredness,2
loosing consciousness,2
weak left arm,2
partial facial paralysis,2
advil headache,2
dull ache behind sternum,2
cough ( dry/tight ),2
poor balance,2
mild heart palpitations,2
itch rash,2
trauma,2
patient side effects reactions vaccine,2
slight rash,2
shortness breath exertion,2
shortness breadth,2
e coli,2
multiple comorbidities,2
extreme chest pain,2
pounding heart,2
limping,2
chronic diastolic chf,2
patient hypoxia,2
sore throat hoarse voice,2
positive back pain,2
gait problem,2
toxic-appearing,2
decreased breath sounds,2
rate pain,2
bibasilar airspace disease,2
diastolic congestive heart failure,2
positive pcr,2
scratching,2
administration erythema,2
acute chronic respiratory failure,2
hcc ),2
gerd ( gastroesophageal reflux disease ),2
physical deconditioning,2
rhino enterovirus copd exacerbation,2
tachypneic hypoxic,2
thyromegaly,2
increasing tachypnea,2
increasing cough,2
polyuria,2
non-distended,2
significant copd,2
severe sob,2
chronic illnesses,2
sputum,2
parenchymal scarring,2
active issues,2
ankylosing spondylitis,2
severe body ache,2
hand tremors,2
acute hypoxia,2
diffuse hives,2
positive chills,2
numbness left side face,2
heart pounding chest,2
kind adverse reaction,2
right side neck,2
adverse events symptoms,2
strong pain neck,2
second day fever,2
body aches weakness,2
trouble walking,2
acute respiratory distress,2
highest fever,2
lump left breast,2
troponin elevated,2
systemic inflammation,2
elevated blood pressures,2
covid related death,2
allergic urticaria,2
scratching throat,2
runny nose cough,2
little congestion,2
menstrual flow,2
aside fever,2
severe flu like symptoms,2
weakness left arm,2
extreme body chills,2
lots fatigue,2
post menopausal bleeding,2
little shaky,2
left lower extremity pain,2
additional non-serious events,2
concurrent medical conditions,2
hemoglobin low,2
breasts tender,2
left arm muscle soreness injection site,2
muscle sore arm,2
breast tenderness,2
upper left eyelid completely swollen,2
esrd,2
non productive cough,2
night chills,2
mouth hurting,2
mouth hurts,2
mouth swollen,2
mouth swelling,2
delta variant,2
born cah,2
congenital adrenal hyperplasia genetic disorder,2
seasonal allergy,2
whole back hurts,2
aspirin fever,2
body pain arm,2
body chill,2
first dose body pain,2
fever diarrhea,2
pink color blister,2
left arm hard spot hot,2
stomach little queasy,2
stage iv lung cancer,2
neck sweating,2
coughing coughing,2
bad muscle aches body,2
bad muscle aches,2
rash erythematous ( non-serious ) onset,2
little pain shoulder,2
cardiovascular disorder,2
tooth extracted,2
great pain,2
foot swelled,2
little bit anxious,2
vaccine headache,2
acarodermatitis,2
"black , white , white puffy",2
pain legs side back,2
skin swelling,2
itch itch itch,2
upper gi gastritis,2
rash bumps arm,2
hot flush ( non-serious ),2
little chest tightness like breath deeply,2
stage 1 heart failure,2
increased tendency bruise,2
significant muscle weakness,2
difficult walk,2
lot congestion throat,2
pelvic/lower abdomen right side cramping,2
horrible muscle pain injection site,2
nose stuffiness,2
language disorder,2
sore kidneys,2
swollen glands throat,2
extreme muscle tiredness,2
very dizzy,2
stomach upset,2
`` heart failure,2
upper respiratory difficulties,2
type 2 diabetes ),2
mrsa,2
ice cold body,2
temperature,2
deltoid muscle extremely inflamed,2
non-serious pain,2
crohns flare,2
vaccination site pain ( vaccination site pain,2
abdominal distension ( abdominal distension,2
heavier intense cramping,2
vulvovaginal discomfort,2
ease pain,2
heavy menstrual bleeding ( non-serious ) onset sep2021,2
known allergy,2
menstruation irregular ( non-serious ) onset apr2021,2
body jerking,2
sore hard time,2
he sore joints,2
menopause ``,2
back neck pains,2
lot menstrual bleeding,2
neurological issues,2
vaccination site rash ( non-serious ),2
delayed reaction,2
severe allergic reactions,2
extreme dizziness blurred vision,2
size blood clots,2
abnormal heavy/ clotting period,2
burning left side mouth along nose left side nose,2
little sharp rough pain heart little sharp pain,2
right itching pain,2
muscle pain muscle arms,2
pain throat area,2
weak feeling body,2
little pressing lungs,2
inappropriate site,2
w/associated migraine symptoms,2
spotted fever,2
tonsillar hypertrophy,2
menstrual changes,2
low white blood cell count,2
alt increased ``,2
elevated esr ``,2
hepatic enzyme,2
hepatic enzyme increased,2
menstruation delayed ( non-serious ),2
blister like lesion site,2
clear fluid filled lesion skin,2
slight pressure front head,2
lightheaded spells,2
extremely sore arm,2
medical conditions,2
facial burning,2
persistent upper body itching,2
eye blood vessel rupture,2
permanent scar sclera,2
ocular vascular disorder,2
eye haemorrhage,2
food allergy,2
neck sore,2
clostridium,2
weight decreased ( non-serious ) onset,2
muscle deep connector pain ( thigh ) / thigh muscles,2
mild nauseous,2
increased nausea,2
torn apart cramping kneading abdomen,2
significant hair loss,2
side effects menstruation,2
menstruation severe,2
right foot,2
rash lumpy,2
i rash,2
injection site discomfort,2
shingrix,2
arthritis ankles,2
chronic pigmented purpura,2
difficulty opening eyes,2
tension headache lower back area head,2
rash stomach,2
three bppv attacks,2
balance issues,2
mild fever ``,2
causal association events,2
csf leak,2
chronic small vessel ischemic disease,2
papilledema,2
moderate spinal canal stenosis,2
csf-venous fistula,2
ligamentum flavum thickening,2
high-grade stenosis vascular occlusion,2
allergy reaction,2
severe allergy reaction,2
sick reaction,2
sudden sharp pains left side head close ear,2
left leg pain,2
headache heart ,2
sore arm side injection,2
slightly elevated,2
injection site tenderness swelling,2
septic infection,2
abdominal discomfort ( non-serious ),2
head discomfort ( non-serious ) onset,2
noticeable side effects,2
significant muscle aches,2
sleep disturbance,2
severe muscle pain neck,2
along nasal congestion,2
"severe muscle pain neck , back lower legs",2
lot pain stomach,2
lot body aches/pain,2
left arm soreness swelling,2
left deltoid arm really sore,2
moderate headache/ mild headache,2
moderate injection site pain,2
mild injection site pain,2
"severe cramping legs , knees",2
recent memory mild impairment,2
red bulls eye,2
slight swelling injection site,2
pain calves muscular,2
entire body shaking,2
pain joints,2
menstrual irregularities,2
queasy nausea,2
bullseye headache,2
acne ( non-serious ),2
lymphoedema ( non-serious ),2
soreness shots,2
slight fever ``,2
motrin fever,2
"red , swollen armpit breast",2
pain left arm injection site,2
swollen armpit breast,2
dementia mess,2
soreness arm stuff,2
left sore arm,2
the big red spot,2
big red spot,2
shoulders knee joints painful,2
muscle/ joint pain,2
swollen lymph node pain,2
mild muscle aches,2
muscle soreness site injection,2
left inner pectoral area achy soreness,2
edema ankles legs,2
skin flushing,2
rash whole body,2
causality events,2
clotting,2
numbness tingling hand,2
intense pain left arm,2
swelling tenderness vaccination area,2
arm redness,2
`` arthritis,2
slight soreness left bicep injection site,2
left arm completely numb,2
arm tingling,2
patient diarrhea,2
lymphnode swelling,2
my diarrhea symptoms,2
sign symptoms,2
severe symptoms pain,2
weird taste mouth,2
lyme 's disease,2
paraesthesia oral ( non-serious ) onset,2
tingling tongue,2
hives body,2
uncomfortable pain,2
tinnitus right ear,2
rash left arm,2
difficulty breathing swallowing,2
epididymitis,2
like burning tingling leg `` right leg,2
tingling pretty bad,2
ulcers tongue,2
swollen lymphnodes,2
non-hodgkin 's lymphoma,2
useless arm syndrome,2
musculoskeletal discomfort ( non-serious ),2
itchy blisters skin,2
extremely weakness,2
lot leg pain,2
side effect tenderness,2
like bruise slight skin discoloring spot,2
bruise slight skin discoloring spot,2
crusty sores,2
rash bloody,2
positive cardiolipin antibodies,2
neuropathy peripheral ( medically significant ) onset,2
tingling forehead time,2
migraine blindness,2
er chest pain,2
hiv infection,2
chronic obstructive pulmonary disease ( non-serious ),2
pins needles sensation tingling hands feet,2
eye movement disorder,2
wrist fracture,2
humerus fracture,2
arm sore touch,2
soft mass left armpit,2
aggravated allergy/ reaction,2
swollen lymph nodes left side,2
swollen ankles / ankles swollen allergic reaction,2
aggravated allergy,2
benadryl reduced swelling,2
heart condition stroke,2
three spots lung hypertension,2
seventy percent blockage brain three spot lungs,2
brain blockage,2
calluses bottom feet,2
seventy percent blockage brain,2
blockage brain,2
the yellow indicator,2
lung disorder ( lung disorder,2
arthritic pains,2
skin ( fungal skin infection,2
sharp shooting pains,2
blisters tip nose lip,2
lip blister,2
lip pain,2
scab,2
inside nose sore,2
"numbness hands , arms , legs , feet",2
extreme sensitivity anything touches limbs,2
unable walk,2
"numbness hands , arms , legs , feet ``",2
hyperacusis,2
functional neurological disorder,2
severe swollen lymph node armpit,2
ercp new severe sclerosing cholangitis,2
underarm ( left arm ) lymph node enlarged painful,2
moderate nausea,2
sinus problems,2
ongoing headache,2
shaking cold,2
mucous chest,2
pain like 'appendicitis ,2
stomach turned vomited,2
menstrual cycle changes,2
burning sensation armpit,2
"cramps legs , calf area",2
epileptic,2
sore achy,2
arm hurts,2
pulmonary granuloma,2
granulomatous liver disease,2
focal inferolateral wall edema,2
rare cases myocarditis,2
smallpox influenza,2
mrna covid-19 vaccination myocarditis,2
myocarditis elevated troponin levels,2
abnormal electrocardiograms,2
myocardial edema late gadolinium enhancement,2
vaccine associated myocarditis,2
alternative etiologies discretion sites,2
patient presented symptoms,2
severely decreased,2
markers illness severity,2
lack abnormal troponin,2
based symptoms,2
previous covid-19 infection history,2
positive nucleocapsid antibodies,2
myocarditis episode,2
history prior infection,2
covid-19 infection presence nucleocapsid antibodies,2
multisystem inflammatory syndrome,2
1 presenting symptoms,2
common symptom,2
patients elevated troponin,2
common abnormal ecg finding st segment and/or wave abnormalities,2
elevation,2
low voltages,2
occasional premature ventricular ( n=3 ) atrial ( n=1 ) contractions,2
first degree atrioventricular block,2
uncommon non-sustained ventricular tachycardia,2
"mild , 2 ( 1.4 % ) moderate , 2 ( 1.4 % ) severe dysfunction",2
one patient pericardial effusion,2
one patient coronary artery dilation,2
patients abnormal cmris,2
abnormal cmris,2
mild left ventricular systolic dysfunction,2
shorter patients abnormal,2
mild illness rapid resolution symptoms,2
myocarditis cases,2
characteristics syndrome,2
intense pain injection site armpit,2
rash around injection site,2
chronic obstructive pulmonary disease ``,2
fast heart beating,2
pain vaccine,2
sleep unwell,2
citrate free crohn 's disease,2
leakage,2
heart beat going crazy,2
pounding heart beat,2
burning sensations throughout different parts body,2
sensitivity smell,2
general feeling unwell,2
burning sensations,2
pain sex pelvis,2
imbruvica ( ibrutinib ),2
severe case pericarditis,2
onset pityriasis rubra pilaris,2
skin feet hands,2
myopericarditis/ myocarditis,2
allergic poison oak,2
ear swelling,2
healing,2
psoriatic arthritis,2
"pretty big , nodule raised area",2
vaccination site nodule,2
symptom breast soreness,2
premenstrual dystrophic disorder,2
fry egg arm,2
burning bad,2
frustration tolerance,2
little bit tired,2
`` stroke ``,2
catch virus,2
history afib,2
deep venous thrombosis,2
signs malignancy,2
single shingle back leg,2
skin sensitivity tingling sensation touch skin,2
chronic bronchitis ``,2
liver disease history,2
treated remission,2
medication changes,2
significant plasma cell component,2
fibrous connective tissue,2
end stage renal disease,2
lymphedema legs,2
skin mass,2
lumps inflamed,2
elbow sore,2
onset jun2021,2
asthma ( non-chronic ),2
junior rheumatoid arthritis,2
intercurrent conditions,2
ivth nerve paralysis,2
bell 's palsy right side face,2
vzv ( shingles ),2
strokes result vzv ( shingles ),2
red eyes,2
lost sense taste smell,2
aching aching one leg back,2
nerve pain leg,2
patient hospitalized pain extremity,2
menopausal bleeding,2
heart rate elevation,2
rash back,2
bit fluid swelling left armpit- uncomfortable,2
diabetes 2,2
high blood pressure readings,2
extreme rigidity shoulders body,2
joint/muscle stiffness rigidity,2
congestion throat chest,2
body/joint/muscle stiffness rigidity,2
breathing-related sleep disorder,2
muscle rigidity ( non-serious ),2
sore spot left arm elbow,2
permanent nerve damage,2
first shot abdominal pain,2
really sore arm,2
high fever ( cyclical ),2
pulling left upper chest,2
heavy sweating,2
acute myelitis,2
swelling leg feet,2
gout lymphedema,2
pain left arm/recurring pain,2
frequent bowel movements ( non-serious ),2
skin rash/outbreaks,2
warts,2
lot tingling nerve,2
underlying medical condition,2
patient sore throat,2
paresthesia,2
myelitis transverse,2
increased signal intensity,2
peripancreatic fat stranding,2
pnh,2
asthma lung issues,2
chronic major depressive disorder,2
"watery , mucousy stool",2
migraines ``,2
mucous stools,2
mucousy stool,2
"tingling forearms , fingers lower extremities",2
altered taste,2
pseudolymphoma,2
chest deep breaths,2
nerve injury,2
irreparable damage/brain injury,2
vaccination failure onset,2
longstanding injury,2
left side severe back,2
flank rib pain,2
complete loss legs twilight zone,2
common side effects,2
first degree av block,2
severe reaction horse serum tetanus,2
hip joints sore,2
blood clot legs,2
tongue cracked,2
lot allergies,2
instant headache,2
motion sickness,2
hit wall,2
foot nails,2
catatonia,2
nail discolouration,2
growth benign growth left nipple,2
neuromuscular symptoms,2
hair loss ``,2
lot unknown allergies,2
limited conditions,2
genetic/ chromosomal abnormalities,2
diabetes ),2
bit low,2
short breathe,2
aphonia,2
sore gums,2
whole body swelling,2
visual impairment ( non-serious ) onset,2
terrible tinnitus,2
vaginal bleeding ( post menopausal ),2
random joint pain/ pain left knee,2
deep shuttering chills,2
asymmetric pain/my upper right maxilla/my lower left mandible,2
asymmetric pain/the upper lower dental arches,2
feeling weakening muscles,2
extreme hypotension,2
vision super blurry blurry dizziness,2
super weak shaking,2
loss taste texture,2
sensations breast,2
lacrimation,2
patient allergy,2
infection gut,2
chronic gout,2
chronic pain disorder,2
nasal cancer,2
patient atrial fibrillation,2
disabling/incapacitating,2
needle lot blood,2
vascular injury,2
blood vessel sore spot,2
weight increased ( non-serious ),2
weight increased,2
little high,2
swollen lymph nodes arm pit,2
neoplasm malignant ( medically significant ),2
removal kidney,2
milk allergy,2
dilated cardiomyopathy,2
mild case,2
open wound,2
recently re-emergence symptoms,2
mild occasional arrythmia,2
lack sensation right side,2
arm/ fingers tingling,2
like tingling,2
pain joint,2
warm touch sore,2
arm deformity,2
left arm fused,2
eczema rheumatoid arthritis flare,2
muscle ache/muscle pain,2
joint ache/joint pain,2
right foot plantar fasciitis,2
"carpal , tunnel wrists",2
chill fever,2
arthritis infective,2
pressure front head eyes headaches,2
pollakiuria,2
allergic cats,2
lactose sensitivity,2
gait inability ( non-serious ),2
horrific nightmares,2
screaming,2
swollen lymph nodes pain,2
uncertain breast cancer,2
heart shocked rhythm,2
low oxygen - short breath,2
multiple sclerosis ``,2
interstitial lung disease,2
pre-existing condition,2
sore muscles lower back,2
light nausea,2
