Disease_ncbi,Frequency_ncbi
left subclavian artery stenosis bilateral carotid artery occlusions,1
dx hypertension,1
hx lung cancer,1
chronic edema bilateral lower extremities,1
myocardial injury,5
chf covid infection,1
oxygen fever,1
pms,2
papular rash,1
8-year-old headache,1
arm swelling soreness,1
headache photophobia,1
"neck , fatigue",1
chronic subdural hematoma,3
orthostatic hypotension,5
102+ fever,1
mediastinal hilar adenopathy,1
numbness tingling,8
obese,9
uterine cancer s/p hysterectomy,1
orthopnea exertional dyspnea,1
airspace opacities,1
interstitial edema,3
st/t wave abnormalities,1
normocytic anemia,5
hyponatremia,6
metabolic acidosis,2
kidney stones,8
er due right lower quadrant pain,2
diarrhea constipation,2
abscess perforation,2
tunnel vision,2
atopic dermatitis,3
systemic internal itching,1
acute uveitis left eye,1
cholelithiasis gallstone pancreatitis,1
active hemorrhage,3
hemorrhage,3
lymph node swelling,5
vaginal bleeding,1
cramps vaginal discharge,1
throat tightness,1
pain joint area,1
"tingling , numbness",1
body itchy,1
heart wall inflammation,1
heart defect,2
truncus arteriosis,2
heart defects,3
genetic defects digeorges syndrome,2
covid aspirin,2
diarrhea 2,1
headache chest pains,1
hand nausea/vomiting,2
coronavirus disease,2
acute respiratory failure hypoxemia,2
sleep apnea cpap,2
chronic atrial fibrillation,2
type 2 diabetes mellitus hyperglycemia,2
chronic renal insufficiency,2
essential hypertension,8
sinoatrial node dysfunction,2
hypercholesteremia,2
chronic diastolic congestive heart failure,4
coronary artery disease,19
gerd - gastro-esophageal reflux disease,2
prostate cancer,10
gerd/coronary artery disease/hypertension,1
dx pneumonia,2
hyponatrimia,1
dermatitis,10
redness,13
swelling,50
stuffy/runny nose,1
fiber-neuropathy,1
palpitation episodic chest pain,1
cardiac ischemia,1
persistent cough,3
blistery rash,1
right forearm swollen,1
thursday - 12/30/21 - muscle spasms,1
heart failure type pneumonia,2
chronic diastolic heart failure,4
aortic valve replacement,3
pulmonary vascular congestion,9
mitral stenosis,2
leukopenia,5
right achilles pain,2
achilles tendinopathy,2
right hip pain,5
achilles tendonopathy,2
chronic achilles tendonopathy,2
lymphadenopathy left axilla,1
essential hypertension chronic lymphocytic leukemia,2
hcc,16
neurocognitive disorder,3
hcc ) anxiety,2
daughter vomiting diarrhea,1
stm deficits,1
aricept daughter dpoa anxiety,2
cll,1
local ed fatigue,1
bilateral patchy ill-defined airspace disease,1
myocardial infarction,24
bilateral hearing loss,3
chronic lymphocytic leukemia,2
protein-calorie malnutrition,2
hctz dementia,1
cranial nerve deficit,3
nausea vomiting night sweats,1
flulike,1
fatigue fatigability,1
loss exercise tolerance,1
seizure-,1
hepatitis c,1
numbness,6
bruising,1
hypercholestrolemia,1
facial flushing fever,1
tremors,5
alopecia areata,4
partial throat swelling,1
muscle & joint pain,2
swelling throat tongue,2
weakness & fainting,1
sore swollen throat tongue,1
pm headache,3
extreme weakness,1
throat tongue swelling pain,1
fatigue weakness,1
chest tightness stomach pain,1
fatigue migraines,1
stomach pains,9
ed 1/4/2022 fever,2
swelling numbness lips,2
constriction pain left shoulder joint,1
rotator cuff tendons,1
pain shoulder,1
diaphoresis,11
tingling throat,2
left eye swelling,1
rash itching,1
appendagitis,1
copd obesity,1
heartburn,6
er trauma,1
"moved elbow , wrist , left side neck",1
hx car sickness,1
intrauterine fetal demise,1
severely painful paresthesias upper lower extremities,2
head trunk,2
neck back pain,4
feelings weakness,2
painful small fiber neuropathy,2
itchiness eyes,1
vision cloudiness,1
stiffness,1
timgleing/numbness,1
left shoulder pain,6
jaw pain cervical pain,1
sinus pain,7
jaw heart,1
left arm joint/bone pain,1
swelling pain,7
abdominal back pain,3
cold/flu symptoms,3
copd home oxygen cad hypertension,1
lethargic cough,1
white sputum fever,1
appetite generalized weakness,1
muscles body ache legs,1
copd dementia,1
sepsis covid pneumonia,1
covid acute chronic respiratory failure hypoxia,1
congestive heart failure,8
injured right foot,1
joint pains body aches,1
nerve pain,9
dizzy,5
canker sore tongue,1
heart palpatation,1
abdominal aortic aneurysm,4
nausea/vomiting,5
acute kidney injury covid-19 virus infection,1
hx right renal hematoma,1
achy pain,1
bodily fatigue,2
running nose cough,1
horrible chills,1
restless leg syndrome,1
"throat ache , ear ache",1
tia stroke,1
tingling pain breasts,1
arthiritis,1
sinus bradycardia,3
left atrial enlargement,2
syncope seizure,1
bit tongue seizure,1
worse sinus attack headache,1
exertional dyspnea,5
covid-19 multi-focal pneumonia,2
swelling right hand foot,1
systemic lupus erythematosus,2
cad s/p stenting,1
complete heart block,3
type 2 diabetes mellitus,16
acute renal failure,11
coughing sneezing,1
nonradiating chest pain,1
bilateral opacities,4
right hand numbness,6
"bilateral lower extremity , left hand",3
chest numbness,3
left arm tingling shoulder left thumb,1
weakness aches,1
dizziness loss appetite,1
thursday friday,1
injury,2
costochondritis,2
cholecystitis,3
abdominal bloating,2
"naseau , body pain",1
fatigue cold intolerance,1
fetal abnormalities,1
convulsions,1
tongue,1
dysautonomia,6
acute appendicitis,3
congestion fatigue,1
admissio nis appendcitis,1
axillary swelling,1
tingling lips,1
rash right breast,1
headache fever,4
rash left-side back shoulder area,1
rash right-side hip,1
"rash bilateral arms , biceps/forearms left rib cage",1
lymph node swelling pain,1
tenderness left arm pit,1
scratchy throat,7
hoarness,2
arterial ischemic stroke,1
contusions left ribs,2
rib fractures,2
left anterior chest wall pain,2
pulmonary emboli,4
hiatal hernia,7
bronchitis laryngitis,1
pain back knee swollen,1
pain left leg,4
orthopedic specialist pain,1
pain bruising,1
hemorrhagic stroke,4
hcc ) cva,1
cerebral vascular accident,2
metabolic encephalopathy,4
cognitive dysfunction,3
left sided weakness stroke,3
middle ear infection,1
toes pain,1
iron deficiency,9
tia left frontal lobe secondary dvt left femoral vein,1
clotting abnormalities,1
cancers,4
sepsis septic shock,1
excessive menstrual pelvic pain,2
lung cancer,7
hx pneumonia,3
debilitating reaction - fever,1
infertility,2
wide-complex tachycardia,1
supraventricular aberrancy,1
head aches,1
101.3 fever,1
pediatric autoimmune neuropsychiatric disorders,1
streptococcal infections,1
pandas,1
tooth pain,2
swelling upper lip swelling,1
increased allergy symptoms,1
pains left arm upper left neck,1
ed 11/6 weakness,1
pneumonia due respiratory syncytial virus,1
deaf left ear,1
dx kawasaki disease,1
hematologist,1
'vaccine,1
immune thrombocytopenia,1
urinary incontinence,6
ringing head tinnitus,1
tumors,1
leg pain,10
chest pain left side left sternum,1
burning pain,1
covid-19 disease death,11
death,2
allergic reaction legs,1
stress anxiety,1
body itching,1
12/28 - nasal congestion,2
pneumonia costochondritis,1
tachypnea,6
cardiac mri,1
lymphocytic myocarditis,1
numbness left thigh,1
ear infection dizziness,1
miscarriages,2
substernal nonexertional chest pain,1
acute myocardial injury,1
myocardial injury myocarditis,1
fatigue back pain,1
impaired speech,1
myasthenia gravis,8
mestinon symptoms,1
nausea vomiting migraines,1
numbness tingling sensation,1
sensation ankles,1
+covid19,2
palm left hand second digit thumb right palm/thumb,1
respiratory distress gi distress,1
myocarditis chest pain,2
breathing difficulties,2
lung discomfort,1
heart arrhythmias,1
burning n't fever,2
swollen feet ankles,2
upper thigh right leg,2
toradol headache,2
hx seizures,2
trouble breathing,1
muscle soreness,10
joint soreness,1
automimmune disorder,1
autoimmune disorder,4
"wrist , hips , shoulders",1
symmetrical urticaria pruritic,1
inflammation thyroid,1
chronic respiratory failure,7
hypoxia hypercapnia,1
med/surg unit acute respiratory failure,1
viral sepsis,2
acute metabolic encephalopathy,3
hx epilepsy,1
swelling lips itchy,1
abnormal ekg,1
headache diarrhea,2
anteroseptal infarct,2
pitting edema ankles,1
muscle weakness legs,1
mental confusion,1
saddle pulmonary embolism,1
sore left arm headache,1
headache discomfort,1
flu-like,1
fever headache tinnitus,1
covid tylenol,8
shooting pains,1
jerky movements leg muscles,1
nausea tiredness dizziness,1
covid pneumonia respiratory failure,1
sudden pain,3
hemiplegic migraine,1
"burning pain left arm , left shoulder , neck head",1
rash legs voice,3
adrenal insufficiency,1
adrenal crisis,1
takotsubo ) cardiomyopathy,1
bacteremia,2
pneumonia renal failure,1
cramp going arm hands,1
subdural hematoma,1
acute encephalopathy,4
covid-19 virus infection,4
cva,2
joint achneness,1
epstein barr syndrome,1
lupus,4
complete right shoulder joint replacement,1
rash forehead chin,1
/teeth chattering,1
restlessness,7
prolonged dizziness vertigo,2
debilitating chest pain,2
right foot,3
orthopedic dx arthritis,1
postural dyspnea,1
left sided face swelling,1
foot numbness feet,1
dyslipidemia depression,1
n/v/d constipation dysuria,1
normotensive tachycardic tachypnea,1
right-sided shoulder arthroplasty,1
/viral pneumonia,1
right pleural effusion,4
paranasal sinus disease,1
chronic small vessel ischemic disease,4
prostate infection,6
practitioner testicular swelling,1
deep vein thrombosis,16
copd,24
orthopnea,3
le edema,2
diffuse hepatic steatosis,1
joint inflammation pain elbow arm,1
left wrist,1
dequervains tenosynovitis,1
pain chest pain,1
dyspnea wheezing,1
er due nausea,1
vomiting back pain,1
chronic pancreatitis,8
leg pain weakness thighs,1
hip previous hip surgery,1
wrist weakness,1
c/o chest pain,1
guillain-barre syndrome,8
focal weakness dizziness lightheadedness,1
fracture posterior lateral 10th ribs,1
nausea vomiting diarrhea fever,1
pink eye infection,1
wet cough,1
nausea chronic persistent headache,1
bone left foot,1
osteoporosis,4
endocrinologist,3
sudden bone loss osteoporosis,1
cought sob n/v dizziness headache,1
chest pain dizziness,1
november bowel obstruction,1
essential tremor,2
type pain,1
orthopnea le edema,1
chronic headaches,4
arrhythmia,18
vaccine light headache,1
jittery,1
covid/hypoxia,2
chronic urticaria,2
emergency dept 10/27/21 right flank pain,1
covid = cough,1
hemorrhagic shock gi bleed,1
coagulopathy,2
tachycardic hypotension,1
low back pain,5
b/l jaw muscle pain,2
right wrist/hand pain,2
left foot/ankle/heel pain,2
pain b/l hips,2
"upper back/neck , left hand , sore throat",2
pt vague syndrome,2
unilateral joint pain,2
"r wrist , l foot , l ankle , l great toe pain",2
low back neck pain,2
o2 shortness breath chest pain,1
c/o persistent l shoulder pain,1
self-inspection lumps,1
edema left ankle,1
swelling left knee lips,1
edema,6
kidney pain,2
mental fatigue,2
dry eye,1
left thumb swelling rheumatoid arthritis,1
hypertension obesity,1
nausea diarrhea w chills fatigue,1
burns tongue,1
er due chest pain,1
groundglass opacities,1
epigastric/upper abdominal pain,1
circumferential bladder wall thickening,1
ringing ears metallic taste symptoms,1
abdominal fullness,1
diabetes mellitus type 1,1
right basilar atelectasis,1
hypotension lewy body disorder,1
hypertensive crisis disorder,1
nstemi,1
chronic renal failure,1
multiorgan failure,1
rash ankles shins,1
erythema multiforme erythema nodosum,1
redness rash,1
"swelling face , neck , throat",1
bi-focals,3
generalized body aches,1
abdominal discomfort,28
edema anterior axilla,1
bacteriuria,3
occlusion lad coronary artery,1
running nose,2
joint pain vomiting,1
asthma headache,1
fever body pain,1
01/03/2022 pain palm hand,1
inflamed vessel ) bruising right middle finger slight bruising pain,1
dizziness headaches,1
cheeks lips,1
soreness,4
drenching night sweats,1
`` chronic pleuritis,1
infection malignancy,1
pleurectomy,1
streaky atelectasis,3
bilateral aneurysmal dilation distal femoral popliteal arteries,3
pmh asthma,3
depression,11
accommodation airspace disease,1
pain stomach vomiting,1
left hand right ankle swelling right shoulder discomfort,1
swelling 2nd finger left hand,1
inflammatory arthritis,3
nephrotic syndrome,3
membranous glomerular nephritis,1
membranous glomerulonephritis,1
joint pain swelling,2
pain stiffness swelling,1
erythema areas pain,1
membranous nephropathy-seronegative rheumatoid arthritis,1
ana scleroderma,1
interstitial lung disease,4
pupil dilation constriction,1
weakness upper lower extremities,1
cyanosis fever,1
sob respiratory distress,1
diarrhea abdominal pain,1
edema pain,1
headache weakness,2
skin rash,4
dry eye syndrome,1
central retinal vein occlusion,1
right knee effusion,1
joint arthralgias,1
abdominal pain nausea vomiting diarrhea,2
weakness pain neck,1
overbody pain,1
neutropenic fever,1
r-chop diffuse large b-cell lymphoma,1
neutropenia,2
caridomyopathy,1
carotid artery disease,1
chronic a-fib s/p ablation,1
gerd,7
glaucoma,4
hld,5
hypothyrodism,1
mitral valve regurgitation s/p repair,1
ed hypoxia respiratory distress,1
covid tuesday,1
sob chest pain,1
degenerative brain syndrome,1
acute otitis media,1
heart palpitation,7
covid arm syndrome,1
chest congestion throat congestion,1
hypoxia,5
chronic diastolic heart failure demand ischemia,1
s/p cardiac arrest,1
gpa,2
granulamatosis polyangitis,2
sensorineural hearing loss ears,2
stomach ache cramps,1
chest pains chills,1
strep throat,3
chest pain chills,1
burns,3
heartburn nausea,1
apnea,5
moderna,1
/reinfection,1
myalgia joint pain,2
dizzy spells weakness,2
diseases abnormalities,2
soa fever,2
bradey cardia,1
tachey cardia,1
myalgia residual osteitis lateral humerus,1
osteitis,2
"numbness , minor tingling",1
low back pain pain feet,1
rheumatoid arthritis spine feet,1
sudden vomit diarrhea,1
otc pain meds,1
chest pains fatigue,2
twitching eye vision blurry,2
parasthesia hands feet,2
head injury,11
hip leg pain,1
airway congestion,1
dry barking cough,1
pityriasis rosea,1
acute respiratory failure pneumonia,1
pcp heard heart murmur,1
unspecified cardiomyopathy,1
numbness tingling hand arm everyday,1
congestion headache,4
abd pain,4
leg cramping pain,1
advil migraine,1
hypogammaglobulinemia,2
herpes zoster virus reaction left foot,1
rash redness,2
dysarthria,5
non-enhancing lesions,1
dull headache,3
tonsillitis,1
benadryl home redness urticaria,1
er fever cough,2
shortness breath wheezing,6
dysuria flank pain,2
back pain arthralgias,2
light-headedness headaches,2
heart ache,3
throat tongue swelling body/face rash,1
oral swelling rash,2
left shoulder pain neck pain,1
oral swelling itchiness,1
joint pain joints,1
laryngitis,4
aseptic meningitis,1
stiffening eye blinking,1
keppra phenytoin,1
"mouth , throat/tongue swelling body/face rash",1
left arm oral swelling rash,1
sideburns,1
armpit swelling,1
upper body rash,1
post-infectious ibs flareup,1
inflammation transverse myelitis,2
"numbness legs , loss motor movement right leg",2
urinary tract infection,28
vaginal bleeding heartburn,1
hypertrophic cardiac myopathy,1
"bicep , deltoid , shoulder supraspinatus",2
facial paralysis,2
palsy middle ear infection,1
painful rashes lung problems,2
left ear pain radiating left jaw,1
hearing loss tinnitus left ear,1
left ear otitis media ear infection,1
sudden fever,2
advil headache,2
type 1 diabetes,5
pain left clavicle trapezius areas,1
pain left clavicle,1
body pain,3
nausea abdominal cramps,1
achiness behind sternum,1
left breast/chest achiness,1
dull ache behind sternum,1
nausea occasional headache,1
rash left side neck,1
"itch rash full body intense thigh , knee , chest , wrist areas",1
sciatic pain,1
burn-like rash,1
aki,4
acute respiratory failure diarrhea,1
pcp office 1/5/2021 dizziness,2
myocardial necrosis,3
pneumonitis,5
generalized red rash itching,1
sinus drainage,1
7am headaches,1
thursday diarrhea,1
excruciating back pain,1
nausea/ rash/ shortness breath/ uri symptoms,1
covid disease,1
overactive bladder,2
hyperkalemic,1
hip & leg pain,1
downward right side right knee ankle,2
cardiogenic shock,1
persistent vertigo,1
pulmonary fibrosis,16
nasal cannula hyperlipidemia,1
chronic lung disease,3
anxiety depressive disorder,3
obstructive sleep apnea,13
urge stress incontinence,1
shortness breath cough,4
ceftin urinary tract infection,1
covid pneumonia urinary tract infection,1
allergy type symptoms,1
c/o dizziness,5
htn diabetes,1
non-bronchial cough,3
fatigue low fever,3
pseudomonas sensitive fortaz,1
hx anxiety,1
bowel obstruction colon resection,1
stomach pains nausea,1
painful walk foot,1
chronic irritation,1
pain foot,1
pain whole arm fingertips cold hand strong pain armpit radiating breast,1
pain urinating,1
01/03/2021 congestion,1
armpit headache fatigue,1
head/facial-side head pain,1
dental provider trigeminal nerve,1
ureteral stone,1
redness swelling,2
c/o headache,1
c/o numbness tingling tongue,1
hip pain,5
copd acute exacerbation,3
acquired pneumonia right lower lobe lung covid-19,3
hx pseudomonas pneumonia,3
chronic diastolic chf,4
12/31 cough malaise,3
ckd,1
type ii hypertension chronic respiratory failure,1
hyperlipidemia hypothyroidism,1
pneumonia chest x-ray,1
asthma chronic obstructive pulmonary disease,1
bronchospasm chronic obstructive pulmonary disease,1
lasix acute kidney injury,1
right hip pain lower back pain,1
consciousness head trauma,1
chronic lower back pain,1
gait problem,1
neck pain edema,1
-stroke,1
cth/cta head neck/ctp,1
ataxia,2
swelling severe eye pain-,1
blindness,4
lipschultz ulcer,1
cut lip,1
-hyperglycemia,1
-hyperphosphatemia,1
bibasilar airspace disease,1
acute hypoxic respiratory insufficiency,1
scratchy sore throat,1
`` left arm lymphedema,1
left upper arm pain,2
decreased joint mobility,1
nondisplaced subtrochanteric fracture right femur,1
cabg,3
diastolic congestive heart failure,4
november weakness,2
alveolar edema,2
hypoxemic respiratory failure,4
superimposed pulmonary edema,2
chronic heart failure,2
asthma-induced tachycardia,1
"erythema anterior right shoulder elbow , posterior shoulder , right chest",1
right-sided chest pain,1
tingling numbness left foot,1
tingling/numbness,1
acute chronic respiratory failure,2
diabetic polyneuropathy,1
interstitial cystitis,4
lung granuloma,1
chronic hypoxemic respiratory failure,1
hypercapnea,1
3lpm nc o2,1
shortness breath fatigue,2
diffuse wheezing,1
acute chronic obstructive pulmonary disease,1
thyromegaly,3
swelling tenderness,2
cervical : cervical adenopathy,6
-acquired pneumonia,6
granuloma,1
hematology/lymphatics,1
polyuria,2
hallucinations,7
cervical adenopathy,4
keytruda hodgekin 's lymphoma,3
hodgkin 's lymphoma,4
pancytopenia,5
e/o sepsis,3
nondisplaced ischial tuberosity fracture,3
lymphomatous involvement,3
colonic necrosis s/p resection,2
acute airspace disease,2
epilepsy,10
painful vaginal ulcers,1
feet upper right leg,1
chronic illnesses,1
fatigue pain,1
panic attack,2
congenital glaucoma,1
loss taste smell,5
nodular opacity,1
parenchymal scarring,2
weakness ankylosing spondylitis,1
ankylosing spondylitis,1
"difficulty walking , hand tremors",1
headache pain behind eyes,1
nausa,1
upper back pain,5
hypoxia - acute pulmonary embolism,1
hep-ind thrombocytopenia,1
left calf pain swelling,1
dvt left popliteal posterior tibial veins,1
ear ache,2
swollen puffy eyelids eyes,1
swelling ankles,1
swelling ankles due heart condition,1
swelling ankles pain,1
diffuse sweating dizziness,1
light cough,1
fibroids hypertension,1
cramps headaches,2
l lateral anterior thigh pain,1
c/o worsening fatigue,1
chronic insomnia,1
head itching,1
fasciculations lower legs,1
peripheral nerve hyperexcitability,1
fasciculation syndrome,1
rash around mouth tongue,1
covid infection - severe sore throat,1
sinus swelling,1
intermittent coughing,1
headache eye pain,1
acute angle glaucoma eyes,1
jaw pain,8
extreme body joint pain,1
bad vision dizziness,1
cellulitis legs knees ankles,1
cellulitis,10
pain neck,1
weakness pain arm swelling dizziness,1
headache sweating,1
runny nose headache,1
muscle pains,5
acute otitis media amoxicillin eustacian tube dysfunction,2
cerebrovascular dural arteriovenous fistula,2
swollen right knee sharp pains shooting foot,1
left knee pain,1
right knee left knee,1
flank rash bilaterally angioedema lips,1
tension headaches,2
coldness,1
body aches weakness,1
soreness left upper arm,1
mouth twitching,1
facial drooping,1
arm drift weakness,1
nervous system -tingling,1
"numbness , weakness",1
gulliane-barre syndrome,1
left spine shoulder,1
acute respiratory distress,3
intubated ventilator,2
right sided bells palsy,1
chest pain body aches,1
ed 1/2/22 pelvic/abdominal pain,2
anaphylaxis,7
nausea fatigue,1
swelling lymph glands,1
seizures 4/11/21,1
burn,1
acute hypoxia,1
picu,1
type chest congestion,1
nausea vomiting headache,1
hoarse voice cough,1
sensation diffuse vibrating body upper lower extremity muscle fasciculations,1
swelling pain left foot knee,2
expressive aphasia stroke left side brain,2
systemic inflammation,3
"weakness , pain",2
sigmoid cancer,1
allergic urticaria,2
ischemic cardiomyopathy,2
shortness breath weakness,1
uri,1
runny nose cough,2
mastitis,2
corroded artery right side neck leading right lower jaw,1
lung nodules,1
microscopic polyangiitis vasculitis,1
mpv,1
hypoxemic,2
muscle ache/nausea/fever/migraine,1
joint pain migraine,1
abdominal distress,1
pain weakness legs,2
pain back left side neck,1
paresthesia weakness left hand foot,1
neck pain bulging left back side neck burning pain weakness,1
cervical myelopathy,1
dizziness nausea,3
tongue facial swelling,1
circulatory shock,1
subacute cerebellar stroke,1
vitt,1
urosepsis,1
splitting headache,4
n't fever,1
tylenol arthritis,3
face lips tongue,1
idiopathic healthy heart ventricular tachycardia,2
generalized urticaria,3
pruritis,4
itchy blistering,1
left lower extremity pain,2
left lower extremity pain 12/21/21,1
left soleal sinus peroneal veins,1
dermatologist scalp pain,2
lipomas,1
muscle pain sore throat,1
muscle pain headache,1
fluid-filled cysts,1
partial facial paralysis,3
swelling tongue,2
closing throat,1
paleness,1
fatigue dizziness,1
myopericarditis,1
atrial fibrilation,1
atrial tachycardia heart flutter,1
itchy erythematous rash,1
exhausting fatigue,1
muscle spasms pain,1
watery eyes,1
`` blurred vision ``,1
ovarian cancer,1
breast lump,2
premenstrual syndrome,3
breast tenderness,2
cxr pulm edema,2
bilat effusions,2
ed cough,2
myalagis,2
nausea/vomiting x4-5,2
`` rash neck ``,1
oral pain,6
mouth swelling,1
`` congenital adrenal hyperplasia ``,1
congenital adrenal hyperplasia genetic disorder,2
`` allergic reaction ``,4
hypersensitivity,14
muscle ache,3
hyperhidrosis,41
tylenol fever headache,2
pop ears ; cough,1
ear disorder,3
fatigue congestion,1
`` type 2 diabetes ``,2
blister,5
"joint pain shoulders , wrist , fingers , elbows",1
`` pain neck ``,1
"joint pain shoulders , wrist , fingers , elbows , knees , hips , ankles , toes",1
joint muscle pain,4
stomach little queasy,1
queasy achy,1
victoza taken diabetes mellitus,1
flatulence,7
rid diarrhea,1
soreness neck sore throat,1
neck sweating,1
neck,1
hypercholesterolaemia,1
oesophageal disorder,1
`` inflammation ``,7
`` rash chest ``,1
`` inflammation `` `` allergies ``,1
hypokinesia,6
red rash,1
rash erythematous,6
rash pruritic,5
`` coronary artery disease,1
cardiovascular disorder,2
rash body ``,1
arm pain/thigh pain,1
pain excruciating,2
neck pain arm pain/thigh pain,1
limb discomfort,8
`` swelling ``,4
`` toes,1
infection diabetes,1
pharyngeal swelling,10
`` prostate cancer ``,5
eliquis taken blood disorder,1
`` prostate cancer,1
sinus headache,11
`` headache sinus ``,1
respiratory disorder,6
`` respiratory coughing congestion,1
respiratory disorder.additional,1
rash macular,7
acarodermatitis,2
skin swelling,2
upper gi gastritis,1
terrible acid reflux,1
spasms esophagus,1
`` diabetes ``,23
`` gastritis,1
gastrooesophageal reflux disease,16
oesophageal spasm,1
`` spasms esophagus ``,2
fibromyalgia chronic fatigue,2
`` fibromyalgia chronic fatigue,2
`` fibromyalgia ``,15
`` chronic fatigue ``,3
`` `` fibromyalgia chronic fatigue,1
skin disorder,3
telangiectasia,1
rash ``,1
elbow pain,1
`` back pain ``,13
`` knee arthritis,1
elbow pain ``,2
illness,12
`` wheezing,2
`` arm soreness `` ``,1
clotting disorder,1
skin itchy,2
pseudocholinesterase deficiency,1
muscular weakness,29
muscle weakness ``,1
gait disturbance,30
respiratory tract congestion,17
pain hips,1
pelvic/lower abdomen right side cramping,1
horrible headache,1
language disorder,2
`` nose stuffiness ``,1
decreased appetite,4
teething,1
amnesia,2
`` coeliac disease ``,1
`` penicillin allergy ``,14
`` latex allergy ``,3
taste disorder,12
renal pain,6
muscle fatigue,9
`` itching,1
swelling ``,5
allergic reaction itching,1
`` heart problems ``,2
`` prolapse valve ``,1
`` coughing ``,3
`` sneezing ``,1
left upper kidney pain,2
cramping left breast pain,6
breast pain,16
`` left upper kidney pain,1
`` `` left upper kidney pain,1
penicillium ``,1
arthritis deform fingers ``,2
`` heart failure,2
`` psoriasis ``,8
bone pain,14
supraclavicular lymphoma,1
puffiness hard lump,1
pain gradually hitting left eye,1
stabbing pain,2
neck shoulder pain,2
stabbing pain ``,1
`` neck shoulder pain ``,1
penicillin allergy,2
latex allergy,1
anaphylactic shock,6
allergy,5
genetic/chromosomal abnormality,1
endocrine abnormality,1
alcoholic fatty liver disease,1
illness/ae,1
non alcoholic fatty liver disease,1
cervical dysplasia,1
vaginitis,1
lipoid metabolism,1
plantar fasclltis,1
otitis externa,1
myalgia fever,1
headaches aching,1
debilitating pain right shoulder joint,2
arthrosis,2
elbows also inflamed painful painful shoulder ; elbows also inflamed painful painful shoulder,1
debilitating pain right shoulder joint ``,2
arthrosis ``,2
`` elbows,1
inflamed painful painful shoulder ``,1
pain shoulder arm right side ``,1
`` lift head,1
excruciating debilitating pain,1
enflamed painful painful shoulder,1
swelling left neck,2
swelling left neck ``,2
crohn 's disease,13
non-serious pain arm humira,1
gastro esophageal reflux disease,1
abdominal distension,13
bad chest pain,2
fatigue/ tired/ exhausted/ chronic fatigue,1
chronic fatigue ``,1
`` alpha-gal allergy ``,1
eye disorder,5
eczema,14
vulvovaginal discomfort,1
vaginal discomfort,1
`` runny nose ``,9
eye pruritus,5
`` runny nose `` `` itchy,1
amenorrhoea,8
vein disorder,3
vein discolouration,1
polymenorrhoea,6
dyskinesia,6
`` inflammation joints ``,1
movement disorder,28
pain ``,7
`` sick ``,2
upset stomach ; leg neck shoulder pain,1
back neck pains,1
leg neck shoulder pain,2
`` leg neck shoulder pain ``,1
`` back neck pains ``,1
swelling knees/joint swelling,1
joint swelling ``,1
epistaxis,14
nervous system disorder,4
immune system disorders,1
hypersensitivity reactions,1
dizziness blurred vision,4
vision blurred,4
menstrual disorder,27
migraine headaches,2
`` interstitial cystitis ``,1
`` joint pain ``,11
sulfa ``,9
chronic bronchitis,2
`` chronic bronchitis ``,3
bronchitis chronic,1
burning left side mouth along nose left side nose,2
numbness left side face mainly left eye upper forehead area,2
intranasal hypoaesthesia,2
oral discomfort,2
nasal discomfort,4
nose left side nose ``,1
pulmonary pain,4
musculoskeletal chest pain,6
hypoaesthesia eye,2
swelling face,6
vaccination site pain,6
fluzone high-dose quadrivalent syringe shoulder,1
benign prostatic hyperplasia,2
"cervical , auricular , occipital lymphadenopathy",2
burning diffuse headache photo phobia,2
w/associated migraine symptoms,1
`` migraine ``,13
hashimoto,3
`` hashimoto ``,1
"cervical , auricular , occipital lymphadenopathy ``",1
tonsillar hypertrophy,2
`` dysphagia ``,1
`` menstrual disorder,1
atrial tachycardia,6
right cervical pain,1
purple discoloration entire digit 4 right foot,1
occipital nerve neuralgia,1
sciatic nerve pain,1
occipital neuralgia,3
`` occipital nerve neuralgia,2
`` sciatic nerve pain,2
`` heart arrhythmia ``,2
`` atrial tachycardia ``,1
`` right cervical pain ``,2
leukemia malignant neoplasm glottis,2
ed lower back pain,2
redness/swelling,1
`` hashimoto 's disease ``,1
upper body itching,2
polymyalgia rheumatica,9
sarcoidosis,3
permanent scar sclera,1
redness eyes,1
malaria,7
`` anemia ``,6
anaemia,3
ocular vascular disorder,2
disability,20
eye haemorrhage,2
`` eye blood vessel rupture ``,1
scleral disorder,2
`` permanent scar sclera ``,1
food allergy,1
`` pains,1
ocular hyperaemia,5
restasis eye drops,1
eye itching,1
vomiting/ vomiting,1
clostridium,1
clostridial infection,1
diarrhoea vomiting,2
left neck arm soreness,1
pain neck arm,1
one-stop diarrhea,1
occassional deep rocking cough,1
mastectomy left arm shoulder,2
`` diabetes 2 ``,2
`` macular degeneration ``,1
macular degeneration,2
nausea eating ``,1
`` one-stop diarrhoea ``,1
tenderness,5
back pain headache,1
`` rash,8
arthritic pain distal interphalangeal joints hands,3
`` arthritic pain distal interphalangeal joints hands ``,1
`` pyrexia,1
left leg plus hip back pain,7
hip back pain,2
`` foot pain right foot/foot back/hip/leg pain ``,1
covid shots foot back/hip/leg pain,4
`` foot back/hip/leg pain,2
`` left leg plus hip back pain,7
`` `` left leg plus hip back pain,1
morton 's neuromas right foot,3
foot pain right foot,1
podiatrist foot back/hip/leg pain,1
left leg right due foot pain,2
orthopedic foot back/hip/leg pain,1
